date,corridor,target_source_quote_date,rate,dist_min_10,favourability_percentile_20,ret_5,good,future_regret_bps,centered_benefit_bps
2024-04-26,TJS_RUB,2024-04-26,8.42444,0.0,0.95,-0.021958349489991424,True,31.942776018347658,64.88174387643137
2024-04-29,AMD_RUB,2024-04-28,0.236495,0.0,0.9,-0.007274543714424819,True,62.49603585699516,24.85152953501821
2024-04-29,KGS_RUB,2024-04-28,1.03347,0.0,0.9,-0.01469186179543891,True,44.41348079770186,55.54412578027434
2024-04-29,KZT_RUB,2024-04-28,0.207013,0.0,0.8,-0.008824261692266466,True,12.801128431548513,38.48701750591211
2024-05-06,AMD_RUB,2024-05-04,0.236734,0.0010105921901095716,0.9,-0.0018383438040223687,True,72.52866085986788,-11.82952911465882
2024-05-06,KGS_RUB,2024-05-04,1.03394,0.0004547785615449662,0.9,-0.006905957949535635,True,48.93901000058093,11.661558122170597
2024-05-06,KZT_RUB,2024-05-04,0.206807,0.0,0.9,-0.006671597917347172,True,2.852901497531684,39.29286602375785
2024-05-06,UZS_RUB,2024-05-04,0.00723689,0.0,1.0,-0.006065059297766129,True,79.41256534229544,3.329708717580356
2024-05-14,TJS_RUB,2024-05-14,8.40138,0.006812846259765193,0.8,-0.0035037694581375733,False,99.1622804824911,-29.73521300476998
2024-05-15,KGS_RUB,2024-05-15,1.03424,0.005209548246637219,0.8,0.00029015223320505434,False,139.039294554456,-20.850010496519822
2024-05-15,KZT_RUB,2024-05-15,0.207201,0.002191073190550785,0.8,0.0019051579491990989,False,228.08770227942952,-29.40210420044978
2024-06-04,KZT_RUB,2024-06-04,0.199833,0.0006409453944569155,0.95,-0.0014341395162901227,False,229.34150015262765,13.288666533239741
2024-06-05,AMD_RUB,2024-06-05,0.229146,0.005405547706591074,0.9,0.005405547706591074,True,79.81810723294308,34.91665953948277
2024-06-05,KGS_RUB,2024-06-05,1.01381,0.007653238711472943,0.9,0.007653238711472943,True,12.822915536442517,48.262864098316776
2024-06-05,TJS_RUB,2024-06-05,8.24576,0.006889444082184948,0.9,0.006889444082184948,True,29.19075985718725,46.87530176492381
2024-06-05,UZS_RUB,2024-06-05,0.00703589,0.008791939861525488,0.9,0.008791939861525488,True,66.67244655615806,17.715663133782535
2024-06-14,AMD_RUB,2024-06-14,0.227317,0.0,1.0,-0.00569941387455164,False,645.6182335681007,-1.1208596805179953
2024-06-14,KGS_RUB,2024-06-14,1.01251,0.0,0.9,-0.0037586217075161743,False,652.0824485684088,-21.36975607107306
2024-06-14,TJS_RUB,2024-06-14,8.22169,0.0,0.9,-0.003107676190568509,False,627.0730226997133,2.948934961419922
2024-06-14,UZS_RUB,2024-06-14,0.00698898,0.0,0.9,-0.00256886704400483,False,637.031440925571,-11.153093136545776
2024-06-19,AMD_RUB,2024-06-19,0.223897,0.0,1.0,-0.025004463527536713,False,502.7311665631972,86.22876303599271
2024-06-19,KZT_RUB,2024-06-19,0.192165,0.0,1.0,-0.03399722512667891,False,611.2455441937922,15.293274076948249
