rule,thresholds,favourability_threshold,past_advantage_threshold,predicted_regret_threshold,is_primary,corridor,actual_regret_tolerance,n_rows,n_signals,signal_frequency,hit_rate,random_hit_rate,uplift,mean_actual_regret_signal,median_actual_regret_signal,p90_actual_regret_signal
GRID_F0.85_PANONE_PR0.005,fav>=0.850; past_advantage>=NONE; predicted_regret<=0.005,0.85,,0.005,False,UZS_RUB,0.005,275,67,0.24363636363636362,0.4626865671641791,0.44788059701492533,1.0330578512396695,0.009031400861504989,0.0052673331173194,0.02720082943520866
GRID_F0.85_PANONE_PR0.010,fav>=0.850; past_advantage>=NONE; predicted_regret<=0.010,0.85,,0.01,False,AMD_RUB,0.005,275,71,0.2581818181818182,0.5352112676056338,0.5027605633802816,1.064545047064097,0.007749920811802269,0.0034201241086762,0.022154957769858
GRID_F0.85_PANONE_PR0.010,fav>=0.850; past_advantage>=NONE; predicted_regret<=0.010,0.85,,0.01,False,KGS_RUB,0.005,275,89,0.3236363636363636,0.4606741573033708,0.5001573033707865,0.921058543379611,0.009390897035420835,0.0055776820016948,0.024432063914630618
GRID_F0.85_PANONE_PR0.010,fav>=0.850; past_advantage>=NONE; predicted_regret<=0.010,0.85,,0.01,False,KZT_RUB,0.005,275,48,0.17454545454545456,0.4583333333333333,0.4390833333333334,1.04384133611691,0.009143423066606128,0.0055205146095912,0.024724993893684634
GRID_F0.85_PANONE_PR0.010,fav>=0.850; past_advantage>=NONE; predicted_regret<=0.010,0.85,,0.01,False,TJS_RUB,0.005,275,83,0.3018181818181818,0.43373493975903615,0.4936626506024096,0.8786059452335628,0.009535515983104276,0.0060879760527503,0.024652042392745797
GRID_F0.85_PANONE_PR0.010,fav>=0.850; past_advantage>=NONE; predicted_regret<=0.010,0.85,,0.01,False,UZS_RUB,0.005,275,67,0.24363636363636362,0.4626865671641791,0.44346268656716414,1.0433494884221863,0.009031400861504989,0.0052673331173194,0.02720082943520866
GRID_F0.85_PA0.000_PR0.002,fav>=0.850; past_advantage>=0.000; predicted_regret<=0.002,0.85,0.0,0.002,False,AMD_RUB,0.005,275,29,0.10545454545454545,0.3793103448275862,0.5027586206896552,0.7544581618655692,0.01058254858122733,0.0097985388751217,0.022451293125591357
GRID_F0.85_PA0.000_PR0.002,fav>=0.850; past_advantage>=0.000; predicted_regret<=0.002,0.85,0.0,0.002,False,KGS_RUB,0.005,275,26,0.09454545454545454,0.3076923076923077,0.49253846153846154,0.6247071685147587,0.01328997691984425,0.01422140385758785,0.0269086545971456
GRID_F0.85_PA0.000_PR0.002,fav>=0.850; past_advantage>=0.000; predicted_regret<=0.002,0.85,0.0,0.002,False,KZT_RUB,0.005,275,14,0.05090909090909091,0.5,0.4412857142857142,1.1330527678860474,0.0061287781939414,0.0045206321894372,0.01272877360420886
GRID_F0.85_PA0.000_PR0.002,fav>=0.850; past_advantage>=0.000; predicted_regret<=0.002,0.85,0.0,0.002,False,TJS_RUB,0.005,275,30,0.10909090909090909,0.3333333333333333,0.49026666666666663,0.6799020940984498,0.012274582632795027,0.011300713499604549,0.026445615413542792
GRID_F0.85_PA0.000_PR0.002,fav>=0.850; past_advantage>=0.000; predicted_regret<=0.002,0.85,0.0,0.002,False,UZS_RUB,0.005,275,18,0.06545454545454546,0.4444444444444444,0.4447777777777778,0.999250562078441,0.010922924343891834,0.006074714347455851,0.0283516487687506
