corridor,model,feature,importance,rank
UZS_RUB,DIRECT_GRADIENT_BOOSTING,ret_3,0.020449103933441508,13
UZS_RUB,DIRECT_GRADIENT_BOOSTING,return_sign_reversal_up,6.342098696929279e-05,14
UZS_RUB,DIRECT_GRADIENT_BOOSTING,near_min_reversal_010,1.0099661056894796e-07,15
UZS_RUB,DIRECT_RIDGE,vol_20,0.005907468847351667,1
UZS_RUB,DIRECT_RIDGE,vol_5,0.005602600705745745,2
UZS_RUB,DIRECT_RIDGE,dist_min_20,0.005045605611887034,3
UZS_RUB,DIRECT_RIDGE,broad_rub_return_5,0.002838421015487618,4
UZS_RUB,DIRECT_RIDGE,favourability_percentile_90,0.0022003305167466966,5
UZS_RUB,DIRECT_RIDGE,broad_rub_return_3,0.001460115669509026,6
UZS_RUB,DIRECT_RIDGE,near_min_reversal_010,0.000821946581048491,7
UZS_RUB,DIRECT_RIDGE,reversal_strength,0.0007887396043992762,8
UZS_RUB,DIRECT_RIDGE,dist_sma_20,0.0006782805159614538,9
UZS_RUB,DIRECT_RIDGE,ret_5,0.000591069913580147,10
UZS_RUB,DIRECT_RIDGE,return_sign_reversal_up,0.0005174042945477883,11
UZS_RUB,DIRECT_RIDGE,broad_rub_return_1,0.0003467030164845604,12
UZS_RUB,DIRECT_RIDGE,corridor_specific_return_1,0.0003338309758308522,13
UZS_RUB,DIRECT_RIDGE,ret_3,0.0002788635862267438,14
UZS_RUB,DIRECT_RIDGE,ret_1,0.00023532301879119832,15
