corridor,date,rate_t,favourability_percentile_90,past_best_5,past_advantage_5,predicted_rate_h1,predicted_rate_h2,predicted_rate_h3,predicted_rate_h4,predicted_rate_h5,predicted_future_best_5,predicted_regret_5,actual_future_best_5,actual_regret_5
UZS_RUB,2025-09-06,0.00655742,0.022222222222222254,0.0064356,-0.018929081981478017,0.0065644435115804,0.0065658301470605,0.0065578195821833,0.0065705447703869,0.0065689350520565,0.0065578195821833,0.0,0.00657624,0.0
UZS_RUB,2025-09-09,0.00657624,0.0,0.00644317,-0.020652877387993783,0.0065873669740676,0.006590952773893,0.0065766407289967,0.0065980607027609,0.0065983119745223,0.0065766407289967,0.0,0.00668487,0.0
UZS_RUB,2025-09-10,0.00669184,0.0,0.00646791,-0.03462169387019915,0.0067079937621992,0.0067109992107098,0.0066922239379605,0.0067167466189926,0.006710862915531,0.0066922239379605,0.0,0.00668487,0.0010415670428462484
UZS_RUB,2025-09-11,0.00687334,0.0,0.00650805,-0.05612894799517532,0.0068985192158535,0.0068923295747432,0.0068732125746368,0.0068879254755399,0.0068830988312133,0.0068732125746368,1.8539074627521898e-05,0.00668487,0.027420438971446266
UZS_RUB,2025-09-12,0.00693032,0.0,0.00655742,-0.05686687752195234,0.0069351678501853,0.0069413947884218,0.0069301915182803,0.0069502265010117,0.006937160831821,0.0069301915182803,1.853907463147455e-05,0.00668487,0.03541683500906168
UZS_RUB,2025-09-13,0.00677894,0.022222222222222254,0.00655742,-0.03378157873065935,0.0067732069257382,0.0067735632294194,0.0067776780378562,0.0067809046454428,0.0067825619631899,0.0067732069257382,0.0008457183957668586,0.00668487,0.01387680079776483
UZS_RUB,2025-09-16,0.00668487,0.0444444444444444,0.00657624,-0.016518557716871676,0.0066719376998436,0.0066766231316945,0.0066816585782935,0.0066772465758867,0.0066770548703333,0.0066719376998436,0.0019345627000076227,0.00671029,0.0
UZS_RUB,2025-09-17,0.00671029,0.033333333333333326,0.00668487,-0.003802616954405988,0.006713376352692,0.0067123356866372,0.0067084597909067,0.0067099058508022,0.0067052715058163,0.0067052715058163,0.0007478803723385876,0.00675601,0.0
UZS_RUB,2025-09-18,0.00675601,0.033333333333333326,0.00668487,-0.010641942176886,0.0067599426390804,0.0067605288175081,0.0067531188443187,0.0067700275948854,0.0067663661137694,0.0067531188443187,0.00042793833657735474,0.00678723,0.0
UZS_RUB,2025-09-19,0.00678723,0.022222222222222254,0.00668487,-0.01531219006502746,0.0067922717564488,0.0067921801053725,0.0067857833692606,0.0068045681112919,0.0067989785383414,0.0067857833692606,0.00021314007914869225,0.00678785,0.0
UZS_RUB,2025-09-20,0.00678785,0.022222222222222254,0.00668487,-0.015404936820012942,0.0067922858736042,0.0067929661868224,0.0067864274077699,0.0067977222029009,0.0068025571162825,0.0067864274077699,0.00020957920845335196,0.00680017,0.0
UZS_RUB,2025-09-23,0.0068032,0.022222222222222254,0.00668487,-0.01770116696360585,0.0068095134212534,0.0068129132653293,0.0068035903271347,0.006820387746349,0.0068152176978844,0.0068035903271347,0.0,0.00680017,0.0004453786453432727
UZS_RUB,2025-09-24,0.00680017,0.033333333333333326,0.00671029,-0.013394354044311128,0.0067992217012741,0.006801348320748,0.0067990990934104,0.0068131834098332,0.0068096594706302,0.0067990990934104,0.00015748232611831518,0.00682674,0.0
UZS_RUB,2025-09-25,0.00690093,0.011111111111111072,0.00675601,-0.02145053071265446,0.0069072319652712,0.0069094384665177,0.0069008020631437,0.0069229650073473,0.0069151897311964,0.0069008020631437,1.853907463208729e-05,0.00675326,0.021398565120933088
UZS_RUB,2025-09-26,0.00684232,0.033333333333333326,0.00678723,-0.008116713298355857,0.0068344684089153,0.0068356140546271,0.0068396888581641,0.0068435103542646,0.0068484578315993,0.0068344684089153,0.0011475042214775068,0.00670373,0.02025482584854261
UZS_RUB,2025-09-27,0.00685359,0.033333333333333326,0.00678785,-0.009684951788858018,0.0068546789479701,0.0068575598670803,0.0068525636908981,0.0068685377343955,0.0068641523718226,0.0068525636908981,0.00014974766536950465,0.00670373,0.021865912609304018
UZS_RUB,2025-09-30,0.00682674,0.05555555555555558,0.00680017,-0.003907255259794985,0.0068183623660554,0.0068221156620485,0.0068238185762401,0.00683079165614,0.0068313647656284,0.0068183623660554,0.0012271792897635362,0.00670373,0.018018849406891232
UZS_RUB,2025-10-01,0.00684538,0.0444444444444444,0.00680017,-0.006648363202684568,0.0068444421923502,0.0068453991081133,0.0068418222028714,0.0068578492077414,0.0068558559801518,0.0068418222028714,0.0005197369800653324,0.00670373,0.020692788420803538
