metric_family,scope,signal_type,rows,true_positive,false_positive,false_negative,true_negative,predicted_positive,actual_positive,precision,recall,f_beta,beta,prevalence,random_precision,classification_lift,average_precision,scenario,h_days,signal_count,safety_count,safety_hits,safety_hit_rate,closing_confirmation_count,closing_confirmation_hits,closing_confirmation_hit_rate,benefit_count,benefit_mean_bps,benefit_median_bps,benefit_positive_share,estimated_mean_value_rub,random_safety_hit_rate_mean,random_safety_hit_rate_p05,random_safety_hit_rate_p95,random_closing_confirmation_hit_rate_mean,random_benefit_mean_bps,random_benefit_mean_bps_p05,random_benefit_mean_bps_p95,random_benefit_positive_share,safety_lift,closing_confirmation_lift,incremental_benefit_bps,safety_randomization_p,closing_confirmation_randomization_p,benefit_randomization_p
factual_count,UZS_RUB,POSITIVE_MARKET_FACT,168.0,12.0,,,,12.0,52.0,,,,0.5,0.30952380952380953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outcome,AMD_RUB,,,,,,,,,,,,,,,,,good_now,1.0,10.0,10.0,9.0,0.9,,,,10.0,9.090264264698797,12.308153637981814,0.6,19.998581382337356,0.9145000000000002,0.8,1.0,,-0.06839167712303292,-18.14526025798362,17.601417676899427,0.4706,0.9841443411700381,,9.15865594182183,0.7932067932067932,,0.1878121878121878
outcome,AMD_RUB,,,,,,,,,,,,,,,,,good_now,3.0,10.0,10.0,8.0,0.8,,,,10.0,12.229941763204286,12.50130649167646,0.6,26.905871879049432,0.7881,0.6,1.0,,1.2183576794784712,-27.105298548629666,29.603355265654788,0.498,1.0150996066489024,,11.011584083725815,0.6393606393606394,,0.2677322677322677
outcome,AMD_RUB,,,,,,,,,,,,,,,,,good_now,5.0,10.0,10.0,6.0,0.6,,,,10.0,14.737629313552128,10.856789502114093,0.6,32.42278448981468,0.709,0.5,0.9,,1.9904520402048589,-32.72711765141561,36.671262526726764,0.4733,0.846262341325811,,12.747177273347269,0.8971028971028971,,0.25274725274725274
outcome,AMD_RUB,,,,,,,,,,,,,,,,,good_now,10.0,10.0,10.0,5.0,0.5,,,,10.0,19.003695970224932,13.74836953372306,0.7,41.80813113449485,0.6079,0.4,0.8,,3.0906677310193253,-43.95120886457188,49.1605607104644,0.5615999999999999,0.8225037012666557,,15.913028239205607,0.8881118881118881,,0.2837162837162837
outcome,AMD_RUB,,,,,,,,,,,,,,,,,good_now,20.0,10.0,10.0,5.0,0.5,,,,10.0,39.61042342586378,38.963635236738305,0.6,87.1429315369003,0.5446638888888888,0.3,0.7777777777777778,,11.92509125150921,-56.27505054672157,78.31771776993146,0.581786111111111,0.9179973378077204,,27.68533217435457,0.7232767232767233,,0.27672327672327673
outcome,AMD_RUB,,,,,,,,,,,,,,,,,positive_market_fact,1.0,13.0,13.0,12.0,0.9230769230769231,,,,13.0,16.407730034428628,15.392579572757622,0.8461538461538461,36.09700607574298,0.9160769230769231,0.7692307692307693,1.0,,-0.20086015772944815,-16.096255079411982,14.165480468392397,0.4667692307692308,1.0076412797044252,,16.608590192158076,0.7172827172827173,,0.022977022977022976
outcome,AMD_RUB,,,,,,,,,,,,,,,,,positive_market_fact,3.0,13.0,13.0,10.0,0.7692307692307693,,,,13.0,31.86123174621065,24.255524731171462,0.7692307692307693,70.09470984166343,0.7864615384615385,0.6153846153846154,0.9230769230769231,,1.1489702188642954,-24.59870499875402,25.57187555553034,0.4952307692307693,0.9780907668231611,,30.712261527346353,0.7042957042957043,,0.01898101898101898
outcome,AMD_RUB,,,,,,,,,,,,,,,,,positive_market_fact,5.0,13.0,13.0,9.0,0.6923076923076923,,,,13.0,48.17948423742439,49.97226735341279,0.6923076923076923,105.99486532233367,0.7097692307692307,0.5384615384615384,0.9230769230769231,,1.6399581370036667,-28.7674439584382,32.56528888319973,0.47061538461538466,0.9753982876341173,,46.53952610042072,0.6963036963036963,,0.003996003996003996
outcome,AMD_RUB,,,,,,,,,,,,,,,,,positive_market_fact,10.0,13.0,13.0,8.0,0.6153846153846154,,,,13.0,70.14021175365548,75.73341408438284,0.8461538461538461,154.30846585804204,0.6087692307692307,0.38461538461538464,0.7692307692307693,,2.347320131147647,-40.05069015710887,46.18239792265529,0.5614615384615385,1.0108668182966896,,67.79289162250784,0.6113886113886113,,0.001998001998001998
