corridor,model_family,feature,is_temporal_enrichment,importance,rank
KZT_RUB,DIRECT_RIDGE,corridor_specific_return_1,False,0.0013878906546027135,19
KZT_RUB,DIRECT_RIDGE,corridor_specific_return_1_lag2,True,0.0013817073444770424,20
KZT_RUB,DIRECT_RIDGE,vol_ratio_20_60,True,0.0011057996990374351,21
KZT_RUB,DIRECT_RIDGE,vol_20_change_3,True,0.000948600301464334,22
KZT_RUB,DIRECT_RIDGE,corridor_specific_return_1_lag3,True,0.0008848645139717866,23
KZT_RUB,DIRECT_RIDGE,reversal_strength,False,0.0007407968724450445,24
KZT_RUB,DIRECT_RIDGE,broad_rub_return_1_lag3,True,0.0005494679586928036,25
KZT_RUB,DIRECT_RIDGE,near_min_reversal_010,False,0.00037922265207170655,26
KZT_RUB,DIRECT_RIDGE,ret_1_lag3,True,0.00032540119989516375,27
KZT_RUB,DIRECT_RIDGE,return_sign_reversal_up,False,0.0002474462580607917,28
TJS_RUB,DIRECT_GRADIENT_BOOSTING,vol_20,False,0.22233632325260577,1
TJS_RUB,DIRECT_GRADIENT_BOOSTING,corridor_specific_return_1,False,0.1624526800787118,2
TJS_RUB,DIRECT_GRADIENT_BOOSTING,reversal_strength,False,0.1120613124527399,3
TJS_RUB,DIRECT_GRADIENT_BOOSTING,vol_20_lag3,True,0.10454543484438558,4
TJS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_1,False,0.054229777132453263,5
TJS_RUB,DIRECT_GRADIENT_BOOSTING,ret_1,False,0.039239876555399525,6
TJS_RUB,DIRECT_GRADIENT_BOOSTING,dist_sma_20,False,0.03405541928708023,7
TJS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_1_lag1,True,0.03300177700412358,8
TJS_RUB,DIRECT_GRADIENT_BOOSTING,vol_20_change_3,True,0.031983863669729676,9
TJS_RUB,DIRECT_GRADIENT_BOOSTING,dist_min_20,False,0.021923222455777384,10
TJS_RUB,DIRECT_GRADIENT_BOOSTING,ret_1_lag1,True,0.020351624920484285,11
TJS_RUB,DIRECT_GRADIENT_BOOSTING,momentum_spread,True,0.018480207854589155,12
TJS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_3,False,0.018138570289333987,13
TJS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_5,False,0.016042160131968936,14
TJS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_1_lag3,True,0.015397005875410439,15
TJS_RUB,DIRECT_GRADIENT_BOOSTING,vol_5,False,0.015357101711817913,16
TJS_RUB,DIRECT_GRADIENT_BOOSTING,vol_ratio_20_60,True,0.014791502667173818,17
TJS_RUB,DIRECT_GRADIENT_BOOSTING,corridor_specific_return_1_lag1,True,0.012495601964892529,18
TJS_RUB,DIRECT_GRADIENT_BOOSTING,favourability_percentile_90,False,0.011627877997854743,19
TJS_RUB,DIRECT_GRADIENT_BOOSTING,ret_5,False,0.01104041978493918,20
TJS_RUB,DIRECT_GRADIENT_BOOSTING,ret_3,False,0.009982149184035234,21
TJS_RUB,DIRECT_GRADIENT_BOOSTING,ret_1_lag3,True,0.005442017214408154,22
TJS_RUB,DIRECT_GRADIENT_BOOSTING,ret_1_lag2,True,0.004453896407700462,23
TJS_RUB,DIRECT_GRADIENT_BOOSTING,corridor_specific_return_1_lag2,True,0.00406108764778175,24
TJS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_1_lag2,True,0.003415394950703597,25
TJS_RUB,DIRECT_GRADIENT_BOOSTING,corridor_specific_return_1_lag3,True,0.002570898269250943,26
TJS_RUB,DIRECT_GRADIENT_BOOSTING,near_min_reversal_010,False,0.0005227963946481352,27
TJS_RUB,DIRECT_GRADIENT_BOOSTING,return_sign_reversal_up,False,0.0,28
TJS_RUB,DIRECT_RIDGE,ret_5,False,0.0031597423073361575,1
TJS_RUB,DIRECT_RIDGE,vol_20_lag3,True,0.00298215258403535,2
TJS_RUB,DIRECT_RIDGE,vol_20,False,0.0024561668190884608,3
TJS_RUB,DIRECT_RIDGE,vol_5,False,0.0024140216452778044,4
TJS_RUB,DIRECT_RIDGE,corridor_specific_return_1,False,0.0022952678717699493,5
TJS_RUB,DIRECT_RIDGE,broad_rub_return_1,False,0.0016502099558288127,6
TJS_RUB,DIRECT_RIDGE,momentum_spread,True,0.001560677062245329,7
TJS_RUB,DIRECT_RIDGE,broad_rub_return_5,False,0.001205464758924742,8
TJS_RUB,DIRECT_RIDGE,broad_rub_return_1_lag2,True,0.0009353315962016502,9
TJS_RUB,DIRECT_RIDGE,broad_rub_return_3,False,0.000903071108696034,10
TJS_RUB,DIRECT_RIDGE,ret_1_lag2,True,0.0008338028751425969,11
TJS_RUB,DIRECT_RIDGE,broad_rub_return_1_lag1,True,0.0008218192462634452,12
TJS_RUB,DIRECT_RIDGE,dist_sma_20,False,0.0007528475977506594,13
TJS_RUB,DIRECT_RIDGE,dist_min_20,False,0.0006787234812872753,14
TJS_RUB,DIRECT_RIDGE,ret_3,False,0.000655885978089222,15
TJS_RUB,DIRECT_RIDGE,favourability_percentile_90,False,0.0005575381148968283,16
TJS_RUB,DIRECT_RIDGE,corridor_specific_return_1_lag1,True,0.0005369833640424561,17
TJS_RUB,DIRECT_RIDGE,vol_20_change_3,True,0.0005198324903987647,18
TJS_RUB,DIRECT_RIDGE,corridor_specific_return_1_lag3,True,0.00037166029472927273,19
TJS_RUB,DIRECT_RIDGE,ret_1_lag1,True,0.00036125478141822725,20
TJS_RUB,DIRECT_RIDGE,ret_1_lag3,True,0.0003382066593800882,21
TJS_RUB,DIRECT_RIDGE,near_min_reversal_010,False,0.0002570580241572204,22
TJS_RUB,DIRECT_RIDGE,reversal_strength,False,0.00025565505108121264,23
TJS_RUB,DIRECT_RIDGE,return_sign_reversal_up,False,0.00015043334201193776,24
TJS_RUB,DIRECT_RIDGE,broad_rub_return_1_lag3,True,0.00014157143757165773,25
TJS_RUB,DIRECT_RIDGE,vol_ratio_20_60,True,0.00011423563874388987,26
TJS_RUB,DIRECT_RIDGE,corridor_specific_return_1_lag2,True,9.955884818417381e-05,27
TJS_RUB,DIRECT_RIDGE,ret_1,False,1.8293747123922726e-06,28
UZS_RUB,DIRECT_GRADIENT_BOOSTING,vol_20_lag3,True,0.25464156208446337,1
UZS_RUB,DIRECT_GRADIENT_BOOSTING,vol_20_change_3,True,0.10146808742860303,2
UZS_RUB,DIRECT_GRADIENT_BOOSTING,reversal_strength,False,0.08288141355964516,3
UZS_RUB,DIRECT_GRADIENT_BOOSTING,vol_20,False,0.07712230247712953,4
UZS_RUB,DIRECT_GRADIENT_BOOSTING,vol_5,False,0.057695542604534744,5
UZS_RUB,DIRECT_GRADIENT_BOOSTING,dist_sma_20,False,0.051575239717033296,6
UZS_RUB,DIRECT_GRADIENT_BOOSTING,vol_ratio_20_60,True,0.04613901070072595,7
UZS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_3,False,0.03648241926730759,8
UZS_RUB,DIRECT_GRADIENT_BOOSTING,dist_min_20,False,0.036056451864050126,9
UZS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_1_lag1,True,0.03473898701476965,10
UZS_RUB,DIRECT_GRADIENT_BOOSTING,ret_1_lag1,True,0.0285792009837406,11
UZS_RUB,DIRECT_GRADIENT_BOOSTING,ret_1_lag3,True,0.02467570098025448,12
UZS_RUB,DIRECT_GRADIENT_BOOSTING,momentum_spread,True,0.022642325023752588,13
UZS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_1,False,0.022493371688467125,14
UZS_RUB,DIRECT_GRADIENT_BOOSTING,ret_1,False,0.018631806324308064,15
UZS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_1_lag3,True,0.016709211811509885,16
UZS_RUB,DIRECT_GRADIENT_BOOSTING,favourability_percentile_90,False,0.016548870704664487,17
UZS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_5,False,0.014612027984696352,18
UZS_RUB,DIRECT_GRADIENT_BOOSTING,broad_rub_return_1_lag2,True,0.009785872848007991,19
UZS_RUB,DIRECT_GRADIENT_BOOSTING,ret_3,False,0.009490841884054834,20
UZS_RUB,DIRECT_GRADIENT_BOOSTING,corridor_specific_return_1,False,0.00857473325101619,21
UZS_RUB,DIRECT_GRADIENT_BOOSTING,corridor_specific_return_1_lag3,True,0.007819847395917982,22
UZS_RUB,DIRECT_GRADIENT_BOOSTING,ret_1_lag2,True,0.006983998128753895,23
UZS_RUB,DIRECT_GRADIENT_BOOSTING,ret_5,False,0.0062596181527552084,24
UZS_RUB,DIRECT_GRADIENT_BOOSTING,corridor_specific_return_1_lag2,True,0.0052943262655531925,25
UZS_RUB,DIRECT_GRADIENT_BOOSTING,return_sign_reversal_up,False,0.0011071249489214665,26
UZS_RUB,DIRECT_GRADIENT_BOOSTING,corridor_specific_return_1_lag1,True,0.0009901049053632062,27
UZS_RUB,DIRECT_GRADIENT_BOOSTING,near_min_reversal_010,False,0.0,28
UZS_RUB,DIRECT_RIDGE,vol_5,False,0.00493111986291297,1
UZS_RUB,DIRECT_RIDGE,vol_20_lag3,True,0.003998534391889241,2
UZS_RUB,DIRECT_RIDGE,dist_min_20,False,0.002894680563852149,3
UZS_RUB,DIRECT_RIDGE,broad_rub_return_5,False,0.0025702842222923095,4
UZS_RUB,DIRECT_RIDGE,vol_20,False,0.002133730326179471,5
UZS_RUB,DIRECT_RIDGE,favourability_percentile_90,False,0.0017796213226464342,6
UZS_RUB,DIRECT_RIDGE,momentum_spread,True,0.0012833410027191733,7
UZS_RUB,DIRECT_RIDGE,ret_5,False,0.0009473159121140383,8
UZS_RUB,DIRECT_RIDGE,near_min_reversal_010,False,0.0009105279548784454,9
UZS_RUB,DIRECT_RIDGE,vol_20_change_3,True,0.0008903180786624797,10
UZS_RUB,DIRECT_RIDGE,ret_3,False,0.0004911182458006665,11
UZS_RUB,DIRECT_RIDGE,broad_rub_return_1,False,0.0004652570167193964,12
UZS_RUB,DIRECT_RIDGE,corridor_specific_return_1,False,0.00044487740120605686,13
UZS_RUB,DIRECT_RIDGE,corridor_specific_return_1_lag3,True,0.0003991870204563877,14
UZS_RUB,DIRECT_RIDGE,return_sign_reversal_up,False,0.00038084089128499114,15
UZS_RUB,DIRECT_RIDGE,reversal_strength,False,0.0003778417328688886,16
UZS_RUB,DIRECT_RIDGE,broad_rub_return_3,False,0.00033147204199533947,17
UZS_RUB,DIRECT_RIDGE,ret_1,False,0.00031668442971855145,18
UZS_RUB,DIRECT_RIDGE,dist_sma_20,False,0.0002817054719563146,19
UZS_RUB,DIRECT_RIDGE,corridor_specific_return_1_lag1,True,0.00027594086201583357,20
UZS_RUB,DIRECT_RIDGE,vol_ratio_20_60,True,0.00019197745898332012,21
UZS_RUB,DIRECT_RIDGE,broad_rub_return_1_lag3,True,0.00018871592995862443,22
UZS_RUB,DIRECT_RIDGE,ret_1_lag1,True,0.00017507020017028138,23
UZS_RUB,DIRECT_RIDGE,corridor_specific_return_1_lag2,True,0.00014123630717149472,24
UZS_RUB,DIRECT_RIDGE,broad_rub_return_1_lag2,True,0.00011741103393653664,25
UZS_RUB,DIRECT_RIDGE,broad_rub_return_1_lag1,True,0.00010014746889522668,26
UZS_RUB,DIRECT_RIDGE,ret_1_lag2,True,7.162597108533787e-05,27
UZS_RUB,DIRECT_RIDGE,ret_1_lag3,True,6.567295497288974e-05,28
