file,rule,description,horizon_days,x_bps,corridor,rows,good_days,good_share,good_episodes,median_regret_bps
low_p10_30_and_regret__h-01__x-025bps.parquet,low_p10_30_and_regret,Нижние 10% 30 прошлых котировок и future regret не выше X bps.,1,25,KGS_RUB,270,39,0.14444444444444443,24,0.0
low_p10_30_and_regret__h-01__x-025bps.parquet,low_p10_30_and_regret,Нижние 10% 30 прошлых котировок и future regret не выше X bps.,1,25,KZT_RUB,270,35,0.12962962962962962,18,0.0
low_p10_30_and_regret__h-01__x-025bps.parquet,low_p10_30_and_regret,Нижние 10% 30 прошлых котировок и future regret не выше X bps.,1,25,TJS_RUB,270,37,0.13703703703703704,22,0.0
low_p10_30_and_regret__h-01__x-025bps.parquet,low_p10_30_and_regret,Нижние 10% 30 прошлых котировок и future regret не выше X bps.,1,25,UZS_RUB,270,37,0.13703703703703704,18,0.0
low_p10_30_and_regret__h-01__x-050bps.parquet,low_p10_30_and_regret,Нижние 10% 30 прошлых котировок и future regret не выше X bps.,1,50,AMD_RUB,270,39,0.14444444444444443,18,0.0
low_p10_30_and_regret__h-01__x-050bps.parquet,low_p10_30_and_regret,Нижние 10% 30 прошлых котировок и future regret не выше X bps.,1,50,KGS_RUB,270,48,0.17777777777777778,20,0.0
low_p10_30_and_regret__h-01__x-050bps.parquet,low_p10_30_and_regret,Нижние 10% 30 прошлых котировок и future regret не выше X bps.,1,50,KZT_RUB,270,36,0.13333333333333333,18,0.0
low_p10_30_and_regret__h-01__x-050bps.parquet,low_p10_30_and_regret,Нижние 10% 30 прошлых котировок и future regret не выше X bps.,1,50,TJS_RUB,270,47,0.17407407407407408,18,0.0
low_p10_30_and_regret__h-01__x-050bps.parquet,low_p10_30_and_regret,Нижние 10% 30 прошлых котировок и future regret не выше X bps.,1,50,UZS_RUB,270,37,0.13703703703703704,18,0.0
low_p10_30_and_regret__h-01__x-100bps.parquet,low_p10_30_and_regret,Нижние 10% 30 прошлых котировок и future regret не выше X bps.,1,100,AMD_RUB,270,44,0.16296296296296298,16,0.0
low_p10_30_and_regret__h-01__x-100bps.parquet,low_p10_30_and_regret,Нижние 10% 30 прошлых котировок и future regret не выше X bps.,1,100,KGS_RUB,270,53,0.1962962962962963,16,0.0
low_p10_30_and_regret__h-01__x-100bps.parquet,low_p10_30_and_regret,Нижние 10% 30 прошлых котировок и future regret не выше X bps.,1,100,KZT_RUB,270,40,0.14814814814814814,17,0.0
low_p10_30_and_regret__h-01__x-100bps.parquet,low_p10_30_and_regret,Нижние 10% 30 прошлых котировок и future regret не выше X bps.,1,100,TJS_RUB,270,51,0.18888888888888888,15,0.0
low_p10_30_and_regret__h-01__x-100bps.parquet,low_p10_30_and_regret,Нижние 10% 30 прошлых котировок и future regret не выше X bps.,1,100,UZS_RUB,270,46,0.17037037037037037,15,0.0
low_p20_60_and_regret__h-01__x-025bps.parquet,low_p20_60_and_regret,Нижние 20% 60 прошлых котировок и future regret не выше X bps.,1,25,AMD_RUB,270,56,0.2074074074074074,30,0.0
low_p20_60_and_regret__h-01__x-025bps.parquet,low_p20_60_and_regret,Нижние 20% 60 прошлых котировок и future regret не выше X bps.,1,25,KGS_RUB,270,67,0.24814814814814815,30,0.0
low_p20_60_and_regret__h-01__x-025bps.parquet,low_p20_60_and_regret,Нижние 20% 60 прошлых котировок и future regret не выше X bps.,1,25,KZT_RUB,270,50,0.18518518518518517,20,0.0
low_p20_60_and_regret__h-01__x-025bps.parquet,low_p20_60_and_regret,Нижние 20% 60 прошлых котировок и future regret не выше X bps.,1,25,TJS_RUB,270,61,0.22592592592592592,26,0.0
low_p20_60_and_regret__h-01__x-025bps.parquet,low_p20_60_and_regret,Нижние 20% 60 прошлых котировок и future regret не выше X bps.,1,25,UZS_RUB,270,61,0.22592592592592592,25,0.0
low_p20_60_and_regret__h-01__x-050bps.parquet,low_p20_60_and_regret,Нижние 20% 60 прошлых котировок и future regret не выше X bps.,1,50,AMD_RUB,270,68,0.2518518518518518,25,0.0
low_p20_60_and_regret__h-01__x-050bps.parquet,low_p20_60_and_regret,Нижние 20% 60 прошлых котировок и future regret не выше X bps.,1,50,KGS_RUB,270,82,0.3037037037037037,22,0.0
low_p20_60_and_regret__h-01__x-050bps.parquet,low_p20_60_and_regret,Нижние 20% 60 прошлых котировок и future regret не выше X bps.,1,50,KZT_RUB,270,54,0.2,18,0.0
low_p20_60_and_regret__h-01__x-050bps.parquet,low_p20_60_and_regret,Нижние 20% 60 прошлых котировок и future regret не выше X bps.,1,50,TJS_RUB,270,72,0.26666666666666666,21,0.0
low_p20_60_and_regret__h-01__x-050bps.parquet,low_p20_60_and_regret,Нижние 20% 60 прошлых котировок и future regret не выше X bps.,1,50,UZS_RUB,270,66,0.24444444444444444,25,0.0
low_p20_60_and_regret__h-01__x-100bps.parquet,low_p20_60_and_regret,Нижние 20% 60 прошлых котировок и future regret не выше X bps.,1,100,AMD_RUB,270,75,0.2777777777777778,20,0.0
low_p20_60_and_regret__h-01__x-100bps.parquet,low_p20_60_and_regret,Нижние 20% 60 прошлых котировок и future regret не выше X bps.,1,100,KGS_RUB,270,91,0.337037037037037,15,0.0
low_p20_60_and_regret__h-01__x-100bps.parquet,low_p20_60_and_regret,Нижние 20% 60 прошлых котировок и future regret не выше X bps.,1,100,KZT_RUB,270,58,0.21481481481481482,15,0.0
low_p20_60_and_regret__h-01__x-100bps.parquet,low_p20_60_and_regret,Нижние 20% 60 прошлых котировок и future regret не выше X bps.,1,100,TJS_RUB,270,82,0.3037037037037037,14,0.0
low_p20_60_and_regret__h-01__x-100bps.parquet,low_p20_60_and_regret,Нижние 20% 60 прошлых котировок и future regret не выше X bps.,1,100,UZS_RUB,270,77,0.2851851851851852,20,0.0
regret_max__h-03__x-025bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,3,25,AMD_RUB,270,145,0.5370370370370371,48,12.606911494010916
regret_max__h-03__x-025bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,3,25,KGS_RUB,270,144,0.5333333333333333,47,14.86225846659917
regret_max__h-03__x-025bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,3,25,KZT_RUB,270,157,0.5814814814814815,50,5.748280058428236
regret_max__h-03__x-025bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,3,25,TJS_RUB,270,151,0.5592592592592592,48,13.44227682906245
regret_max__h-03__x-025bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,3,25,UZS_RUB,270,150,0.5555555555555556,47,10.224781913879726
regret_max__h-03__x-050bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,3,50,AMD_RUB,270,179,0.662962962962963,41,12.606911494010916
regret_max__h-03__x-050bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,3,50,KGS_RUB,270,180,0.6666666666666666,40,14.86225846659917
regret_max__h-03__x-050bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,3,50,KZT_RUB,270,175,0.6481481481481481,49,5.748280058428236
regret_max__h-03__x-050bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,3,50,TJS_RUB,270,177,0.6555555555555556,38,13.44227682906245
regret_max__h-03__x-050bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,3,50,UZS_RUB,270,161,0.5962962962962963,40,10.224781913879726
regret_max__h-03__x-100bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,3,100,AMD_RUB,270,225,0.8333333333333334,27,12.606911494010916
regret_max__h-03__x-100bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,3,100,KGS_RUB,270,220,0.8148148148148148,28,14.86225846659917
regret_max__h-03__x-100bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,3,100,KZT_RUB,270,213,0.7888888888888889,33,5.748280058428236
regret_max__h-03__x-100bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,3,100,TJS_RUB,270,221,0.8185185185185185,29,13.44227682906245
regret_max__h-03__x-100bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,3,100,UZS_RUB,270,209,0.774074074074074,31,10.224781913879726
near_local_min__h-03__x-025bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,3,25,AMD_RUB,270,63,0.23333333333333334,49,12.606911494010916
near_local_min__h-03__x-025bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,3,25,KGS_RUB,270,67,0.24814814814814815,47,14.86225846659917
near_local_min__h-03__x-025bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,3,25,KZT_RUB,270,63,0.23333333333333334,44,5.748280058428236
near_local_min__h-03__x-025bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,3,25,TJS_RUB,270,62,0.22962962962962963,47,13.44227682906245
near_local_min__h-03__x-025bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,3,25,UZS_RUB,270,65,0.24074074074074073,44,10.224781913879726
near_local_min__h-03__x-050bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,3,50,AMD_RUB,270,102,0.37777777777777777,52,12.606911494010916
near_local_min__h-03__x-050bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,3,50,KGS_RUB,270,109,0.40370370370370373,54,14.86225846659917
near_local_min__h-03__x-050bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,3,50,KZT_RUB,270,89,0.3296296296296296,54,5.748280058428236
near_local_min__h-03__x-050bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,3,50,TJS_RUB,270,93,0.34444444444444444,50,13.44227682906245
near_local_min__h-03__x-050bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,3,50,UZS_RUB,270,83,0.3074074074074074,47,10.224781913879726
near_local_min__h-03__x-100bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,3,100,AMD_RUB,270,174,0.6444444444444445,44,12.606911494010916
near_local_min__h-03__x-100bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,3,100,KGS_RUB,270,173,0.6407407407407407,43,14.86225846659917
near_local_min__h-03__x-100bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,3,100,KZT_RUB,270,147,0.5444444444444444,50,5.748280058428236
near_local_min__h-03__x-100bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,3,100,TJS_RUB,270,168,0.6222222222222222,46,13.44227682906245
